序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
2,安克创新,00668,110.0,5.47,300866,118.22,-0.84,1.25,24.55
3,大金重工,01081,38.5,5.19,002487,40.46,-0.2,1.22,21.79
4,宁德时代,03750,660.0,3.94,300750,396.26,-0.94,0.7,-30.42
5,中信证券,06030,28.92,3.14,600030,28.1,-0.57,1.13,12.6
6,天齐锂业,09696,34.36,3.12,002466,44.5,-1.57,1.5,50.09
7,中金公司,03908,22.7,2.71,601995,35.45,-1.42,1.81,80.98
8,上海电气,02727,3.31,2.16,601727,7.01,6.21,2.45,145.43
9,峰岹科技,01304,111.5,1.73,688279,165.7,-1.53,1.72,72.22
10,普源精电,00537,27.5,1.55,688337,41.66,-2.53,1.74,73.79
11,美的集团,00300,96.2,1.42,000333,84.12,-0.01,1.01,1.23
12,赣锋锂业,01772,38.9,1.35,002460,49.5,-1.16,1.47,47.47
13,药明康德,02359,159.0,1.27,603259,123.3,-1.09,0.9,-10.13
14,广发证券,01776,17.5,1.27,000776,21.71,-0.87,1.44,43.77
15,东方证券,03958,5.75,1.23,600958,9.2,1.32,1.85,85.42
16,金风科技,02208,10.06,1.21,002202,18.15,0.0,2.09,108.67
17,招商证券,06099,15.45,1.05,600999,17.99,-1.32,1.35,34.94
18,XD国联民,01456,4.01,1.01,601456,8.83,-0.23,2.55,155.19
19,海天味业,03288,32.18,0.94,603288,36.23,0.58,1.3,30.47
20,光大证券,06178,7.58,0.93,601788,14.51,-0.55,2.22,121.84
21,龙源电力,00916,5.79,0.87,001289,16.4,-0.12,3.28,228.25
22,中国中铁,00390,3.62,0.84,601390,4.52,0.0,1.45,44.7
23,国泰海通,02611,15.25,0.79,601211,18.95,0.0,1.44,44.01
24,申万宏源,06806,2.6,0.78,000166,4.64,-0.43,2.07,106.82
25,华电国际,01071,4.14,0.73,600027,4.68,0.0,1.31,30.69
26,新华保险,01336,48.46,0.71,601336,62.91,-0.62,1.5,50.44
27,中国神华,01088,43.36,0.7,601088,44.53,-0.67,1.19,19.02
28,海尔智家,06690,21.64,0.65,600690,21.94,0.32,1.17,17.49
29,中国平安,02318,57.0,0.62,601318,53.4,-0.02,1.09,8.57
30,中国通号,03969,3.29,0.61,688009,5.09,0.0,1.79,79.29
31,中国人保,01339,5.2,0.58,601319,7.41,-0.4,1.65,65.14
32,复星医药,02196,16.29,0.56,600196,22.62,-0.57,1.61,60.82
33,招商银行,03968,49.22,0.53,600036,39.17,0.44,0.92,-7.77
34,上海医药,02607,12.05,0.5,601607,16.46,0.0,1.58,58.3
35,中国中免,01880,49.88,0.48,601888,53.98,-0.84,1.25,25.41
36,赛力斯,09927,43.7,0.46,601127,55.0,-0.74,1.46,45.85
37,邮储银行,01658,4.96,0.4,601658,5.11,0.39,1.19,19.39
38,光大银行,06818,3.19,0.31,601818,3.17,0.0,1.15,15.16
39,中国东航,00670,3.25,0.31,600115,3.62,-0.55,1.29,29.08
40,天岳先进,02631,62.8,0.24,688234,98.47,-1.53,1.82,81.71
41,三花智控,02050,25.88,0.23,002050,35.7,-0.92,1.6,59.86
42,荣昌生物,09995,85.65,0.0,688331,122.0,-1.21,1.65,65.07
43,海普瑞,09989,4.33,0.0,002399,9.5,-0.42,2.54,154.26
44,沃尔核材,09981,10.38,0.0,002130,15.7,-1.63,1.75,75.28
45,东鹏饮料,09980,109.9,0.0,605499,127.42,-0.75,1.34,34.36
46,诺诚健华,09969,13.91,0.0,688428,27.5,-0.83,2.29,129.11
47,芯碁微装,09630,335.8,0.0,688630,408.0,-3.06,1.41,41.14
48,龙旗科技,09611,21.58,0.0,603341,36.6,-1.35,1.97,96.55
49,三环集团,06951,103.9,0.0,300408,107.29,-3.84,1.2,19.67
50,顺丰控股,06936,33.0,0.0,002352,33.74,-0.06,1.18,18.49
51,中国银河,06881,7.52,0.0,601881,12.44,-0.8,1.92,91.71
52,福莱特,06865,6.64,0.0,601865,9.43,-0.95,1.65,64.58
53,昊海生科,06826,16.21,0.0,688366,30.38,-0.13,2.17,117.19
54,凯莱英,06821,118.2,0.0,002821,162.0,-0.58,1.59,58.83
55,华新建材,06655,14.36,0.0,600801,20.84,-0.05,1.68,68.18
56,青岛港,06198,7.03,0.0,601298,8.7,0.0,1.43,43.42
57,康希诺,06185,23.4,0.0,688185,48.99,-0.53,2.43,142.62
58,昭衍新药,06127,25.02,0.0,603127,49.49,-0.42,2.29,129.23
59,星源材质,06067,7.78,0.0,300568,12.35,-1.44,1.84,83.96
60,中信建投,06066,12.13,0.0,601066,26.23,-0.83,2.51,150.6
61,三一重工,06031,20.5,0.0,600031,19.35,-0.26,1.09,9.39
62,洛阳钼业,03993,16.84,0.0,603993,18.86,-2.58,1.3,29.79
63,时代电气,03898,33.56,0.0,688187,45.68,-1.55,1.58,57.74
64,青岛银行,03866,4.78,0.0,002948,5.75,-0.17,1.39,39.41
65,弘业期货,03678,2.16,0.0,001236,7.16,-0.56,3.84,284.15
66,渝农商行,03618,6.41,0.0,601077,6.59,0.15,1.19,19.14
67,福耀玻璃,03606,54.25,0.0,600660,55.21,-0.13,1.18,17.94
68,秦港股份,03369,2.33,0.0,601326,3.42,0.0,1.7,70.1
69,泰格医药,03347,37.84,0.0,300347,48.6,-0.8,1.49,48.84
70,交通银行,03328,7.42,0.0,601328,7.06,0.71,1.1,10.27
71,美格智能,03268,17.25,0.0,002881,37.26,-3.62,2.5,150.32
72,中海油服,02883,7.01,0.0,601808,12.0,-1.23,1.98,98.38
73,辽港股份,02880,0.7,0.0,601880,1.47,0.0,2.43,143.37
74,中远海发,02866,0.91,0.0,601866,2.42,0.0,3.08,208.19
75,国恩股份,02768,33.1,0.0,002768,48.54,-1.06,1.7,69.95
76,牧原股份,02714,32.5,0.0,002714,39.1,-0.58,1.39,39.42
77,国民技术,02701,9.04,0.0,300077,17.35,-1.87,2.22,122.42
78,兆威机电,02692,45.2,0.0,003021,75.0,-1.07,1.92,92.29
79,南华期货,02691,6.65,0.0,603093,16.53,-0.96,2.88,188.07
80,安井食品,02648,73.45,0.0,603345,85.4,-0.09,1.35,34.74
81,吉宏股份,02603,12.17,0.0,002803,17.8,-1.6,1.69,69.5
82,中国铝业,02600,8.33,0.0,601600,9.22,-1.71,1.28,28.27
83,中伟新材,02579,26.7,0.0,300919,39.97,-1.75,1.73,73.49
84,迈威生物-U,02493,21.96,0.0,688062,31.45,-0.51,1.66,65.97
85,立讯精密,02475,63.25,0.0,002475,61.8,-1.73,1.13,13.23
86,龙蟠科技,02465,10.3,0.0,603906,19.51,2.9,1.97,96.61
87,亿华通-U,02402,12.87,0.0,688339,16.59,-1.78,1.49,49.39
88,长城汽车,02333,8.89,0.0,601633,,,2.13,112.92
89,百奥赛图,02315,54.1,0.0,688796,134.07,-1.41,2.87,187.19
90,广汽集团,02238,2.2,0.0,601238,5.11,-0.58,2.69,169.18
91,万  科Ａ,02202,2.39,0.0,000002,3.1,-0.96,1.5,50.32
92,中铝国际,02068,1.85,0.0,601068,4.31,-1.6,2.7,169.99
93,中集集团,02039,7.62,0.0,000039,8.11,-1.58,1.23,23.34
94,浙商银行,02016,2.36,0.0,601916,2.9,0.35,1.42,42.41
95,重庆银行,01963,8.23,0.0,601963,11.02,0.36,1.55,55.17
96,中煤能源,01898,10.8,0.0,601898,13.75,-0.65,1.48,47.54
97,君实生物-U,01877,18.9,0.0,688180,37.03,-0.8,2.27,127.06
98,春立医疗,01858,9.04,0.0,688236,13.82,-0.22,1.77,77.17
99,中国广核,01816,2.86,0.0,003816,4.03,0.0,1.63,63.3
100,ST晨鸣,01812,0.65,0.0,000488,1.91,-0.52,3.41,240.53
101,中国交建,01800,3.79,0.0,601800,6.11,-0.16,1.87,86.83
102,丽珠集团,01513,25.92,0.0,000513,30.5,-0.52,1.36,36.37
103,鼎泰高科,01377,362.0,0.0,301377,402.45,-2.88,1.29,28.84
104,中原证券,01375,1.71,0.0,601375,4.07,-0.49,2.76,175.83
105,复旦张江,01349,2.43,0.0,688505,7.16,-1.1,3.41,241.47
106,绿色动力,01330,5.58,0.0,601330,7.08,-0.84,1.47,47.04
107,恒瑞医药,01276,57.05,0.0,600276,53.45,-0.28,1.09,8.58
108,可孚医疗,01187,37.0,0.0,301087,53.9,-0.28,1.69,68.82
109,中联重科,01157,7.59,0.0,000157,7.42,-0.54,1.13,13.29
110,中远海能,01138,13.54,0.0,600026,15.61,-2.07,1.34,33.61
111,凯盛新能,01108,2.32,0.0,600876,6.42,-1.38,3.21,220.69
112,创业环保,01065,3.77,0.0,600874,5.46,-0.36,1.68,67.84
113,浙江世宝,01057,3.63,0.0,002703,12.7,0.95,4.05,305.45
114,南方航空,01055,3.59,0.0,600029,5.15,0.0,1.66,66.25
115,重庆钢铁,01053,0.88,0.0,601005,1.2,0.84,1.58,58.03
116,石化油服,01033,0.63,0.0,600871,2.15,-0.92,3.95,295.49
117,中信银行,00998,7.68,0.0,601998,7.77,0.78,1.17,17.25
118,皖通高速,00995,15.67,0.0,600012,18.45,-0.05,1.36,36.45
119,新天绿能,00956,3.19,0.0,600956,7.3,-0.27,2.65,165.2
120,中国移动,00941,82.5,0.0,600941,94.23,-0.17,1.32,32.37
121,海信家电,00921,22.78,0.0,000921,25.15,0.0,1.28,27.95
122,海螺水泥,00914,18.12,0.0,600585,17.75,0.0,1.14,13.52
123,华能国际,00902,5.93,0.0,600011,7.08,-0.84,1.38,38.36
124,东江环保,00895,1.65,0.0,002672,3.32,0.3,2.33,133.18
125,白云山,00874,15.82,0.0,600332,21.68,-0.41,1.59,58.82
126,新华文轩,00811,9.58,0.0,601811,12.09,-0.25,1.46,46.25
127,中国国航,00753,4.3,0.0,601111,6.1,0.0,1.64,64.4
128,中国电信,00728,4.66,0.0,601728,6.15,0.49,1.53,52.94
129,新华制药,00719,6.36,0.0,000756,13.66,-0.22,2.49,148.9
130,均胜电子,00699,13.17,0.0,600699,20.17,0.05,1.77,77.48
131,中国外运,00598,4.54,0.0,601598,6.22,0.0,1.59,58.77
132,北辰实业,00588,0.68,0.0,601588,1.63,-0.61,2.78,177.79
133,中创智领,00564,14.0,0.0,601717,15.27,-0.39,1.26,26.4
134,深高速,00548,6.78,0.0,600548,8.42,-0.59,1.44,43.92
135,广深铁路,00525,2.25,0.0,601333,2.97,0.0,1.53,52.97
136,先导智能,00470,29.7,0.0,300450,33.25,-0.78,1.3,29.74
137,鞍钢股份,00347,1.19,0.0,000898,1.99,-0.5,1.94,93.8
138,上海石化,00338,1.15,0.0,600688,2.75,-0.72,2.77,177.12
139,马钢股份,00323,1.7,0.0,600808,2.49,-0.8,1.7,69.74
140,京城股份,00187,2.95,0.0,600860,7.68,0.0,3.02,201.7
141,宁沪高速,00177,9.93,0.0,600377,12.23,-0.08,1.43,42.73
142,青岛啤酒,00168,45.72,0.0,600600,52.98,-0.19,1.34,34.29
143,四川成渝,00107,4.74,0.0,601107,5.53,0.0,1.35,35.2
144,一拖股份,00038,8.99,0.0,601038,13.83,-1.21,1.78,78.28
145,华勤技术,03296,67.2,-0.07,603296,83.62,-3.81,1.44,44.21
146,中兴通讯,00763,24.58,-0.08,000063,34.49,-2.16,1.63,62.61
147,圣邦股份,03661,96.8,-0.1,300661,95.81,-3.11,1.15,14.7
148,工商银行,01398,7.28,-0.14,601398,7.77,0.52,1.24,23.69
149,豪威集团,00501,79.8,-0.19,603501,93.98,-1.4,1.36,36.48
150,XD中国铁,01186,4.67,-0.21,601186,6.22,0.48,1.54,54.35
151,康龙化成,03759,23.7,-0.25,300759,38.11,-1.7,1.86,86.35
152,普源精电,00537,27.0,-0.3,688337,41.66,-2.53,1.74,73.79
153,广合科技,01989,117.5,-0.42,001389,163.0,-2.69,1.6,60.08
154,农业银行,01288,6.0,-0.5,601288,6.78,0.89,1.31,30.95
155,中国银行,03988,5.35,-0.56,601988,6.03,0.5,1.3,30.37
156,民生银行,01988,3.51,-0.57,600016,3.54,0.28,1.17,16.88
157,中芯国际,00981,70.15,-0.71,688981,141.68,-1.45,2.34,134.06
158,中国太保,02601,29.86,-0.73,601601,31.61,-0.03,1.23,22.68
159,领益智造,01688,6.7,-0.74,002600,12.17,-1.85,2.04,104.4
