序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
41,天岳先进,02631,79.5,1.73,688234,151.4,3.7,2.2,119.73
42,交通银行,03328,6.73,1.66,601328,6.74,0.6,1.16,15.55
43,中国人寿,02628,28.76,1.63,601628,37.56,-0.03,1.51,50.68
44,赤峰黄金,06693,27.84,1.61,600988,31.35,3.06,1.3,29.93
45,深高速,00548,6.45,1.57,600548,8.7,0.58,1.56,55.63
46,国恩股份,02768,57.1,1.51,002768,60.87,4.95,1.23,23.0
47,渝农商行,03618,6.16,1.48,601077,6.35,-0.63,1.19,18.94
48,中船防务,00317,12.89,1.42,600685,26.27,-0.72,2.35,135.15
49,浙商银行,02016,2.17,1.4,601916,2.73,-0.73,1.45,45.16
50,剑桥科技,06166,101.9,1.39,603083,196.9,-0.15,2.23,122.95
51,纳芯微,02676,192.2,1.37,688052,253.39,0.73,1.52,52.11
52,青岛银行,03866,4.52,1.35,002948,5.36,-1.29,1.37,36.82
53,新华制药,00719,6.08,1.33,000756,13.9,0.14,2.64,163.78
54,中国交建,01800,3.82,1.33,601800,5.9,0.85,1.78,78.2
55,郑州银行,06196,0.87,1.16,002936,1.68,-0.59,2.23,122.8
56,中国神华,01088,41.0,1.13,601088,41.84,0.19,1.18,17.74
57,新华保险,01336,48.52,1.13,601336,62.5,-1.28,1.49,48.62
58,泰格医药,03347,35.06,1.1,300347,44.16,-4.62,1.45,45.33
59,招商银行,03968,45.32,1.03,600036,37.69,0.37,0.96,-4.05
60,南华期货,02691,6.09,1.0,603093,17.38,-0.29,3.29,229.28
61,中国能建,03996,1.07,0.94,601868,2.54,-0.78,2.74,173.89
62,南京熊猫,00553,3.25,0.93,600775,9.14,0.66,3.24,224.48
63,中国中免,01880,46.94,0.9,601888,51.44,0.92,1.26,26.44
64,弘业期货,03678,2.24,0.9,001236,6.89,-1.29,3.55,254.9
65,吉宏股份,02603,15.96,0.88,002803,23.56,-1.34,1.7,70.32
66,秦港股份,03369,2.34,0.86,601326,3.26,0.0,1.61,60.74
67,中金公司,03908,22.06,0.82,601995,36.03,-0.69,1.88,88.45
68,申万宏源,06806,2.58,0.78,000166,4.56,0.22,2.04,103.93
69,东鹏饮料,09980,111.7,0.63,605499,125.26,0.65,1.29,29.39
70,中原证券,01375,1.71,0.59,601375,4.03,0.25,2.72,171.92
71,顺丰控股,06936,31.34,0.58,002352,32.54,-0.76,1.2,19.8
72,美的集团,00300,87.85,0.57,000333,78.97,-0.19,1.04,3.72
73,一拖股份,00038,7.35,0.55,601038,12.37,-2.06,1.94,94.18
74,华电国际,01071,3.79,0.53,600027,4.47,0.45,1.36,36.08
75,中国石化,00386,4.1,0.49,600028,4.82,0.42,1.36,35.64
76,万  科Ａ,02202,2.23,0.45,000002,2.98,-0.33,1.54,54.19
77,广和通,00638,6.92,0.44,300638,17.39,0.99,2.9,189.95
78,大唐发电,00991,2.31,0.43,601991,6.94,-0.86,3.47,246.64
79,大众公用,01635,2.33,0.43,600635,4.26,-0.23,2.11,110.95
80,宁沪高速,00177,9.48,0.42,600377,12.36,0.41,1.5,50.43
81,中信建投,06066,12.05,0.42,601066,28.19,0.93,2.7,169.92
82,光大证券,06178,7.41,0.41,601788,14.93,-0.2,2.32,132.47
83,白云山,00874,15.34,0.39,600332,21.06,0.05,1.58,58.4
84,中国广核,01816,2.66,0.38,003816,3.85,0.79,1.67,67.0
85,中国通号,03969,3.11,0.32,688009,4.86,0.21,1.8,80.3
86,中国中铁,00390,3.29,0.3,601390,4.23,0.24,1.48,48.35
87,海螺水泥,00914,16.8,0.3,600585,17.0,0.0,1.17,16.75
88,创业环保,01065,3.54,0.28,600874,5.48,-0.18,1.79,78.61
89,中国银河,06881,7.23,0.28,601881,13.08,-0.76,2.09,108.74
90,国联民生,01456,3.86,0.26,601456,8.83,0.0,2.64,163.94
91,华泰证券,06886,16.63,0.24,601688,20.3,-1.65,1.41,40.84
92,华新建材,06655,12.88,0.23,600801,17.46,-1.63,1.56,56.41
93,中国中车,01766,4.58,0.22,601766,5.37,-0.37,1.35,35.28
94,中国铁建,01186,4.71,0.21,601186,6.12,0.66,1.5,49.92
95,中国人保,01339,5.05,0.2,601319,7.07,-0.7,1.62,61.53
96,康龙化成,03759,20.46,0.2,300759,30.59,0.07,1.73,72.51
97,沃尔核材,09981,11.34,0.18,002130,17.7,0.34,1.8,80.09
98,中国太保,02601,27.68,0.14,601601,29.33,-0.61,1.22,22.26
99,中集集团,02039,7.43,0.13,000039,7.98,0.25,1.24,23.92
100,海尔智家,06690,20.02,0.1,600690,20.23,-0.44,1.17,16.59
101,恒瑞医药,01276,59.75,0.08,600276,54.3,-1.91,1.05,4.86
102,复星医药,02196,16.19,0.06,600196,23.1,-0.39,1.65,64.63
103,凯莱英,06821,111.1,0.0,002821,152.72,-0.25,1.59,58.6
104,澜起科技,06809,333.6,0.0,688008,258.28,2.01,0.89,-10.67
105,辽港股份,02880,0.66,0.0,601880,1.4,0.72,2.45,144.75
106,广汽集团,02238,2.21,0.0,601238,5.11,-0.58,2.67,166.78
107,中煤能源,01898,10.08,0.0,601898,12.92,-1.82,1.48,47.89
108,复旦张江,01349,2.38,0.0,688505,7.54,-0.66,3.66,265.53
109,东方电气,01072,22.92,0.0,600875,28.42,0.07,1.43,43.07
110,重庆钢铁,01053,0.87,0.0,601005,1.16,-0.85,1.54,53.84
111,石化油服,01033,0.58,0.0,600871,2.06,2.49,4.1,309.8
112,中国外运,00598,4.04,0.0,601598,5.37,-0.19,1.53,53.36
113,北辰实业,00588,0.67,0.0,601588,1.61,0.63,2.77,177.26
114,马钢股份,00323,1.64,0.0,600808,2.41,-0.82,1.7,69.55
115,昭衍新药,06127,18.49,-0.05,603127,38.8,-1.1,2.42,142.12
116,中国铝业,02600,7.57,-0.13,601600,8.29,0.36,1.26,26.35
117,中创智领,00564,13.59,-0.15,601717,14.52,-1.09,1.23,23.28
118,国泰海通,02611,14.88,-0.2,601211,18.98,-0.05,1.47,47.17
119,时代电气,03898,36.44,-0.22,688187,55.69,-0.52,1.76,76.33
120,中远海能,01138,13.49,-0.22,600026,16.43,0.12,1.41,40.53
121,青岛啤酒,00168,44.18,-0.27,600600,52.99,-0.86,1.38,38.39
122,青岛港,06198,6.4,-0.31,601298,8.07,1.0,1.45,45.49
123,福莱特,06865,6.17,-0.32,601865,9.65,-1.53,1.8,80.46
124,海信家电,00921,23.14,-0.34,000921,25.32,-2.31,1.26,26.25
125,XD绿色动,01330,5.3,-0.38,601330,6.87,0.73,1.5,49.56
126,龙源电力,00916,5.01,-0.4,001289,15.58,-0.64,3.59,258.81
127,新华文轩,00811,8.82,-0.45,601811,11.45,0.26,1.5,49.78
128,广深铁路,00525,2.17,-0.46,601333,2.97,2.06,1.58,57.92
129,赛力斯,09927,46.78,-0.47,601127,58.16,-1.49,1.43,43.45
130,长飞光纤,06869,157.4,-0.51,601869,427.2,-0.46,3.13,213.15
131,大族数控,03200,135.6,-0.51,301200,331.0,-1.67,2.82,181.64
132,百济神州,06160,183.3,-0.54,688235,260.48,-1.02,1.64,63.96
133,中铝国际,02068,1.76,-0.56,601068,4.24,-0.24,2.78,177.96
134,广发证券,01776,17.22,-0.58,000776,22.49,-1.32,1.51,50.69
135,金风科技,02208,10.04,-0.59,002202,21.31,-3.97,2.45,144.9
136,上海电气,02727,3.27,-0.61,601727,6.77,0.15,2.39,138.88
137,山东黄金,01787,18.94,-0.63,600547,24.93,0.65,1.52,51.87
138,四川成渝,00107,4.49,-0.66,601107,5.18,-1.89,1.33,33.11
139,诺诚健华,09969,13.37,-0.67,688428,28.44,-0.07,2.45,145.43
140,招商证券,06099,16.91,-0.7,600999,20.59,-0.29,1.4,40.49
141,安德利,02218,16.81,-0.77,605198,61.57,0.21,4.23,322.6
142,中信证券,06030,27.46,-0.79,600030,28.32,-0.46,1.19,18.99
143,洛阳钼业,03993,15.07,-0.86,603993,17.94,1.41,1.37,37.35
144,可孚医疗,01187,30.96,-0.9,301087,49.24,-1.44,1.84,83.51
145,上海石化,00338,1.09,-0.91,600688,2.87,-1.03,3.04,203.8
146,美格智能,03268,17.24,-0.98,002881,36.67,1.02,2.45,145.42
147,美凯龙,01528,0.99,-1.0,601828,2.06,-0.48,2.4,140.08
148,安井食品,02648,68.65,-1.01,603345,82.1,-0.82,1.38,37.99
149,百奥赛图,02315,47.9,-1.11,688796,106.3,-2.72,2.56,156.05
150,中远海发,02866,0.87,-1.14,601866,2.28,0.44,3.02,202.38
151,南方航空,01055,3.39,-1.17,600029,5.06,-1.17,1.72,72.22
152,丽珠集团,01513,25.82,-1.22,000513,30.1,-1.25,1.35,34.51
153,胜宏科技,02476,254.0,-1.24,300476,289.0,1.43,1.31,31.28
154,紫金矿业,02899,29.82,-1.26,601899,27.79,0.62,1.08,7.53
155,康希诺,06185,22.82,-1.3,688185,49.62,-1.84,2.51,150.88
156,新天绿能,00956,3.0,-1.32,600956,6.8,0.29,2.62,161.53
157,君实生物-U,01877,18.49,-1.49,688180,36.15,-2.03,2.26,125.58
158,上海医药,02607,11.82,-1.5,601607,16.11,-0.31,1.57,57.26
159,福耀玻璃,03606,51.7,-1.52,600660,52.0,-2.03,1.16,16.05
160,春立医疗,01858,8.96,-1.54,688236,14.86,-0.4,1.91,91.36
161,中联重科,01157,7.04,-1.54,000157,7.25,-2.29,1.19,18.82
162,豪威集团,00501,76.65,-1.54,603501,100.47,1.02,1.51,51.24
163,国民技术,02701,13.3,-1.63,300077,28.04,1.82,2.43,143.25
164,中国国航,00753,4.23,-1.63,601111,6.02,-1.15,1.64,64.21
165,中伟新材,02579,24.6,-1.68,300919,40.5,-3.5,1.9,89.96
166,浙江世宝,01057,3.5,-1.69,002703,13.14,-2.88,4.33,333.17
167,凯盛新能,01108,2.28,-1.72,600876,6.81,-0.73,3.45,244.62
168,长城汽车,02333,8.48,-1.74,601633,15.46,-0.32,2.1,110.35
169,大金重工,01081,46.9,-1.88,002487,47.85,-3.72,1.18,17.72
170,安克创新,00668,103.8,-2.17,300866,104.04,-2.06,1.16,15.65
171,海天味业,03288,29.86,-2.23,603288,33.63,-1.41,1.3,29.95
172,三一重工,06031,19.65,-2.24,600031,19.08,-1.85,1.12,12.03
173,先导智能,00470,30.74,-2.29,300450,36.48,-2.07,1.37,36.92
174,中国东航,00670,3.13,-2.49,600115,3.68,-1.6,1.36,35.65
175,皖通高速,00995,14.4,-2.64,600012,16.96,0.24,1.36,35.89
176,宁德时代,03750,634.5,-2.68,300750,366.9,-1.5,0.67,-33.28
177,东江环保,00895,1.73,-2.81,002672,3.38,-2.03,2.25,125.42
178,钧达股份,02865,18.69,-2.86,002865,51.71,-3.04,3.19,219.22
179,牧原股份,02714,31.34,-2.91,002714,37.02,-3.82,1.36,36.29
180,迈威生物-U,02493,23.26,-3.08,688062,31.69,-2.22,1.57,57.2
181,京城股份,00187,2.97,-3.26,600860,8.19,-3.65,3.18,218.17
182,药明康德,02359,145.2,-3.39,603259,116.49,-1.53,0.93,-7.43
183,星源材质,06067,10.0,-3.85,300568,18.87,-7.27,2.18,117.72
184,江西铜业,00358,29.32,-3.87,600362,40.71,-0.07,1.6,60.2
185,赣锋锂业,01772,45.34,-3.9,002460,58.47,-4.83,1.49,48.79
186,蓝思科技,06613,23.16,-3.98,300433,49.23,-5.05,2.45,145.26
187,均胜电子,00699,12.73,-4.07,600699,21.51,-3.5,1.95,94.96
188,金力永磁,06680,17.82,-4.09,300748,30.45,-3.91,1.97,97.16
189,三花智控,02050,27.36,-4.13,002050,42.92,-5.69,1.81,81.0
190,亿华通-U,02402,12.57,-4.41,688339,19.32,-7.29,1.77,77.34
191,潍柴动力,02338,35.4,-5.35,000338,28.19,-5.15,0.92,-8.12
192,天齐锂业,09696,37.12,-6.12,002466,54.59,-7.77,1.7,69.68
193,兆威机电,02692,51.3,-6.13,003021,86.95,-4.35,1.96,95.56
194,龙蟠科技,02465,11.82,-7.73,603906,27.5,-9.51,2.68,168.44
195,领益智造,01688,7.76,-8.81,002600,15.54,-2.45,2.31,131.06
196,埃斯顿,02715,20.06,-15.0,002747,44.1,-10.0,2.54,153.65
