序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
2,山东墨龙,00568,4.91,15.8,002490,6.97,9.94,1.64,63.79
3,华勤技术,03296,63.3,9.23,603296,78.29,10.0,1.43,42.7
4,复旦微电,01385,32.7,7.57,688385,72.71,9.34,2.57,156.55
5,芯碁微装,09630,408.8,6.18,688630,493.9,6.85,1.39,39.4
6,兆易创新,03986,809.5,5.13,603986,640.94,3.38,0.91,-8.65
7,建设银行,00939,8.14,3.96,601939,9.98,0.6,1.41,41.46
8,农业银行,01288,5.59,3.9,601288,6.08,0.5,1.25,25.49
9,中国海油,00883,21.9,3.79,600938,28.65,0.88,1.51,50.94
10,华虹宏力,01347,186.8,3.78,688347,370.37,14.31,2.29,128.77
11,中国银行,03988,5.0,3.73,601988,5.86,1.38,1.35,35.23
12,中芯国际,00981,76.15,3.68,688981,156.16,7.39,2.37,136.61
13,工商银行,01398,6.71,3.39,601398,7.31,0.69,1.26,25.7
14,昊海生科,06826,16.08,3.28,688366,32.28,6.99,2.32,131.62
15,ST晨鸣,01812,0.64,3.23,000488,2.02,-0.98,3.64,264.17
16,重庆银行,01963,7.28,3.15,601963,9.94,-0.8,1.58,57.54
17,海普瑞,09989,4.23,2.92,002399,9.36,0.11,2.55,155.31
18,中海油服,02883,6.45,2.87,601808,11.54,4.43,2.06,106.43
19,中国平安,02318,53.75,2.77,601318,49.36,0.14,1.06,5.96
20,龙旗科技,09611,22.3,2.76,603341,40.49,6.27,2.09,109.5
21,广合科技,01989,142.8,2.73,001389,187.81,1.87,1.52,51.75
22,华能国际,00902,5.51,2.61,600011,6.8,0.0,1.42,42.39
23,中信银行,00998,6.89,2.53,601998,7.13,0.14,1.19,19.4
24,中国电信,00728,4.5,2.51,601728,5.55,0.54,1.42,42.3
25,光大银行,06818,2.96,2.42,601818,3.04,0.0,1.18,18.5
26,中国石油,00857,9.15,2.35,601857,9.28,1.64,1.17,17.02
27,荣昌生物,09995,83.65,2.32,688331,128.1,-1.38,1.77,76.69
28,中国中冶,01618,1.41,2.17,601618,2.52,1.2,2.06,106.21
29,圣邦股份,03661,112.8,2.08,300661,133.31,3.26,1.36,36.36
30,东方证券,03958,5.59,2.01,600958,9.27,-1.17,1.91,91.34
31,邮储银行,01658,4.69,1.96,601658,5.05,0.6,1.24,24.24
32,峰岹科技,01304,135.3,1.88,688279,241.88,3.39,2.06,106.27
33,民生银行,01988,3.25,1.88,600016,3.3,-0.3,1.17,17.16
34,中国移动,00941,78.6,1.88,600941,89.05,0.71,1.31,30.72
35,鞍钢股份,00347,1.1,1.85,000898,1.87,0.54,1.96,96.15
36,比亚迪,01211,84.95,1.8,002594,86.01,-0.29,1.17,16.82
37,金隅集团,02009,0.57,1.79,601992,1.38,0.73,2.79,179.34
38,中兴通讯,00763,23.06,1.77,000063,36.84,2.93,1.84,84.33
39,中远海控,01919,13.89,1.76,601919,14.06,1.66,1.17,16.79
40,兖矿能源,01171,11.02,1.75,600188,18.02,-0.93,1.89,88.67
