date,value
2014-03-25,0.9425
2014-03-26,0.902
2014-03-27,0.862
2014-03-28,0.768
2014-03-31,0.7965
2014-04-01,0.7515
2014-04-02,0.9375
2014-04-03,0.9955
2014-04-04,1.136
2014-04-07,1.085
2014-04-08,1.069
2014-04-09,1.072
2014-04-10,1.0888
2014-04-11,1.122
2014-04-14,1.108
2014-04-15,1.101
2014-04-16,1.0845
2014-04-17,1.1305
2014-04-22,1.1745
2014-04-23,1.1885
2014-04-24,1.1656
2014-04-25,1.382
2014-04-28,1.2055
2014-04-29,1.1985
2014-04-30,1.2575
2014-05-02,1.256
2014-05-05,1.2265
2014-05-07,1.156
2014-05-08,1.1231
2014-05-09,1.159
2014-05-12,1.175
2014-05-13,1.384
2014-05-14,1.795
2014-05-15,2.9396
2014-05-16,1.9223
2014-05-19,1.793
2014-05-20,1.7415
2014-05-21,2.493
2014-05-22,3.5595
2014-05-23,3.477
2014-05-26,3.1277
2014-05-27,3.149
2014-05-28,1.907
2014-05-29,1.458
2014-05-30,1.27
2014-06-03,1.339
2014-06-04,1.429
2014-06-05,1.562
2014-06-06,1.606
2014-06-09,2.0035
2014-06-10,2.0195
2014-06-11,2.041
2014-06-12,2.076
2014-06-13,4.009
2014-06-16,4.589
2014-06-17,3.085
2014-06-18,2.211
2014-06-19,2.027
2014-06-20,2.5995
2014-06-23,3.367
2014-06-24,2.5556
2014-06-25,2.5022
2014-06-26,2.9233
2014-06-27,4.1289
2014-06-30,3.5789
2014-07-02,3.3217
2014-07-03,3.1478
2014-07-04,3.255
2014-07-07,3.4328
2014-07-08,2.7578
2014-07-09,2.415
2014-07-10,2.4933
2014-07-11,3.6367
2014-07-14,3.1644
2014-07-15,3.0594
2014-07-16,2.7522
2014-07-17,2.5989
2014-07-18,3.6689
2014-07-21,2.6467
2014-07-22,2.2278
2014-07-23,1.9589
2014-07-24,1.8811
2014-07-25,3.5133
2014-07-28,3.1739
2014-07-29,3.4072
2014-07-30,3.4078
2014-07-31,3.7683
2014-08-01,4.12
2014-08-04,3.4778
2014-08-05,3.4875
2014-08-06,3.4756
2014-08-07,3.2783
2014-08-08,3.5994
2014-08-11,2.9828
2014-08-12,2.48
2014-08-13,2.3661
2014-08-14,2.2756
2014-08-15,3.3944
2014-08-18,1.7461
2014-08-19,1.7672
2014-08-20,1.6978
2014-08-21,1.77
2014-08-22,2.6911
2014-08-25,1.775
2014-08-26,1.7022
2014-08-27,1.5033
2014-08-28,1.5317
2014-08-29,1.9944
2014-09-01,1.8044
2014-09-02,2.045
2014-09-03,2.0428
2014-09-04,2.295
2014-09-05,4.9122
2014-09-08,2.6417
2014-09-10,2.06
2014-09-11,2.0411
2014-09-12,2.0856
2014-09-15,1.7544
2014-09-16,2.6717
2014-09-17,3.155
2014-09-18,5.5011
2014-09-19,7.0889
2014-09-22,5.7222
2014-09-23,2.6444
2014-09-24,1.7894
2014-09-25,1.4289
2014-09-26,1.4289
2014-09-29,1.5662
2014-09-30,1.3894
2014-10-03,1.4794
2014-10-06,1.3744
2014-10-07,1.2922
2014-10-08,1.2283
2014-10-09,1.1656
2014-10-10,1.2
2014-10-13,1.2356
2014-10-14,1.2333
2014-10-15,1.3789
2014-10-16,2.7631
2014-10-17,2.3889
2014-10-20,3.0055
2014-10-21,3.416
2014-10-22,3.33
2014-10-23,3.7215
2014-10-24,3.242
2014-10-27,2.664
2014-10-28,1.569
2014-10-29,2.3
2014-10-30,3.521
2014-10-31,4.07
2014-11-03,3.855
2014-11-04,3.719
2014-11-05,3.7245
2014-11-06,6.3165
2014-11-07,3.414
2014-11-10,3.248
2014-11-11,1.9617
2014-11-12,1.3575
2014-11-13,1.3735
2014-11-14,1.5122
2014-11-17,1.9825
2014-11-18,2.076
2014-11-19,1.4455
2014-11-20,1.3625
2014-11-21,2.3125
2014-11-24,2.1575
2014-11-25,2.906
2014-11-26,3.9925
2014-11-27,3.9305
2014-11-28,3.85
2014-12-01,4.108
2014-12-02,4.341
2014-12-03,5.3855
2014-12-04,4.479
2014-12-05,3.188
2014-12-08,3.969
2014-12-09,5.966
2014-12-10,4.1335
2014-12-11,3.3695
2014-12-12,3.5095
2014-12-15,3.797
2014-12-16,3.4265
2014-12-17,2.3155
2014-12-18,3.0275
2014-12-19,6.511
2014-12-22,5.83
2014-12-23,3.395
2014-12-24,2.688
2014-12-29,1.7335
2014-12-30,1.5235
2014-12-31,1.8325
2015-01-02,2.5135
2015-01-05,3.8605
2015-01-06,2.8585
2015-01-07,3.15
2015-01-08,3.55
2015-01-09,3.473
2015-01-12,3.5395
2015-01-13,3.402
2015-01-14,2.415
2015-01-15,2.92
2015-01-16,4.113
2015-01-19,4.245
2015-01-20,4.198
2015-01-21,4.9175
2015-01-22,6.2825
2015-01-23,5.253
2015-01-26,6.564
2015-01-27,6.091
2015-01-28,3.5725
2015-01-29,3.856
2015-01-30,4.107
2015-02-02,5.0485
2015-02-03,5.915
