序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
2,山东墨龙,00568,5.8,5.84,002490,7.09,-6.22,1.41,41.43
3,皖通高速,00995,15.35,4.28,600012,17.25,1.95,1.3,30.02
4,华能国际,00902,5.79,3.21,600011,6.92,2.52,1.38,38.28
5,广深铁路,00525,2.23,1.83,601333,2.96,-1.33,1.54,53.58
6,招商银行,03968,47.08,1.68,600036,38.02,0.93,0.93,-6.56
7,新华文轩,00811,9.3,1.64,601811,12.27,-1.05,1.53,52.65
8,中信银行,00998,7.05,1.59,601998,7.33,0.0,1.2,20.3
9,华新建材,06655,14.09,1.37,600801,19.96,5.27,1.64,63.9
10,中国石油,00857,9.59,1.27,601857,10.29,3.0,1.24,24.15
11,农业银行,01288,5.68,1.25,601288,6.39,1.43,1.3,30.16
12,中国神华,01088,42.4,1.24,601088,43.95,1.57,1.2,19.93
13,建设银行,00939,8.29,1.22,601939,10.16,3.67,1.42,41.8
14,交通银行,03328,6.97,1.16,601328,6.83,0.89,1.13,13.38
15,中远海控,01919,14.99,1.15,601919,14.54,-0.07,1.12,12.23
16,海螺水泥,00914,17.21,1.06,600585,17.67,0.68,1.19,18.79
17,邮储银行,01658,4.85,1.04,601658,5.09,0.79,1.21,21.43
18,华电国际,01071,3.93,1.03,600027,4.65,1.53,1.37,36.9
19,中国外运,00598,4.31,0.94,601598,5.53,0.36,1.48,48.45
20,青岛港,06198,6.73,0.9,601298,8.59,2.63,1.48,47.68
21,浙商银行,02016,2.27,0.89,601916,2.81,-0.71,1.43,43.22
22,四川成渝,00107,4.66,0.87,601107,5.5,2.23,1.37,36.56
23,中国通号,03969,3.16,0.64,688009,4.95,-0.4,1.81,81.24
24,南华期货,02691,6.45,0.62,603093,16.58,-2.07,2.97,197.41
25,美的集团,00300,92.25,0.54,000333,82.71,1.11,1.04,3.74
26,重庆银行,01963,7.64,0.53,601963,10.54,0.0,1.6,59.62
27,中国石化,00386,4.26,0.47,600028,5.03,0.8,1.37,36.61
28,中国移动,00941,79.95,0.44,600941,93.4,0.38,1.35,35.16
29,工商银行,01398,6.91,0.44,601398,7.57,2.44,1.27,26.75
30,青岛银行,03866,4.63,0.43,002948,5.63,0.72,1.41,40.69
31,中国广核,01816,2.73,0.37,003816,3.94,1.55,1.67,66.98
32,中国中铁,00390,3.47,0.29,601390,4.43,-0.23,1.48,47.71
33,创业环保,01065,3.71,0.27,600874,5.47,-0.36,1.71,70.59
34,宁沪高速,00177,9.87,0.2,600377,11.81,-0.17,1.38,38.44
35,秦港股份,03369,2.3,0.09,601326,3.44,0.58,1.73,73.05
36,渝农商行,03618,6.37,0.0,601077,6.71,1.05,1.22,21.88
37,福耀玻璃,03606,54.4,0.0,600660,53.88,1.66,1.15,14.59
38,民生银行,01988,3.47,0.0,600016,3.46,0.29,1.15,15.37
39,中国中车,01766,4.63,0.0,601766,5.65,0.71,1.41,41.19
40,青岛啤酒,00168,44.9,-0.04,600600,52.51,-0.66,1.35,35.31
41,绿色动力,01330,5.31,-0.19,601330,6.97,-1.27,1.52,51.87
42,中国铁建,01186,4.96,-0.2,601186,6.4,0.47,1.49,49.29
43,中国电信,00728,4.63,-0.22,601728,6.01,2.04,1.5,50.19
