序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
2,赤峰黄金,06693,32.04,15.42,600988,38.22,7.72,1.38,38.1
3,山东墨龙,00568,6.07,7.43,002490,7.77,6.0,1.48,48.19
4,华勤技术,03296,74.2,7.23,603296,87.67,10.0,1.37,36.78
5,国恩股份,02768,32.6,6.96,002768,50.1,6.82,1.78,77.91
6,紫金矿业,02899,33.42,6.03,601899,32.2,6.59,1.12,11.54
7,中远海能,01138,13.17,4.94,600026,15.66,5.24,1.38,37.66
8,ST晨鸣,01812,0.64,4.92,000488,1.89,0.53,3.42,241.88
9,中兴通讯,00763,25.6,4.92,000063,37.5,7.51,1.7,69.58
10,山东黄金,01787,19.86,4.86,600547,27.4,5.91,1.6,59.72
11,洛阳钼业,03993,17.36,4.77,603993,19.61,4.98,1.31,30.77
12,广和通,00638,7.93,4.62,300638,21.08,5.93,3.08,207.74
13,兖矿能源,01171,12.13,4.48,600188,22.36,6.78,2.13,113.4
14,江西铜业,00358,34.92,4.24,600362,43.05,5.51,1.43,42.72
15,福莱特,06865,6.64,3.75,601865,9.54,2.25,1.66,66.33
16,澜起科技,06809,319.4,3.37,688008,223.0,1.55,0.81,-19.17
17,安井食品,02648,73.8,3.36,603345,87.7,1.04,1.38,37.57
18,中煤能源,01898,10.91,3.31,601898,14.34,3.99,1.52,52.16
19,海普瑞,09989,4.44,3.26,002399,9.63,-0.31,2.51,151.09
20,钧达股份,02865,16.78,3.07,002865,41.63,0.65,2.87,187.21
21,石化油服,01033,0.68,3.03,600871,2.25,5.63,3.83,283.05
22,埃斯顿,02715,19.26,2.83,002747,32.99,-1.32,1.98,98.3
23,可孚医疗,01187,36.78,2.74,301087,52.89,0.78,1.66,66.47
24,中国海油,00883,24.1,2.55,600938,32.39,4.72,1.56,55.59
25,中国神华,01088,44.18,2.41,601088,45.44,0.75,1.19,19.07
26,大唐发电,00991,2.56,2.4,601991,6.95,4.98,3.14,214.29
27,中国铝业,02600,8.12,2.4,601600,9.43,2.95,1.34,34.44
28,中国石油,00857,10.05,2.34,601857,10.92,2.34,1.26,25.79
29,潍柴动力,02338,32.8,1.99,000338,26.85,1.13,0.95,-5.23
30,华电国际,01071,4.15,1.97,600027,4.79,1.05,1.34,33.62
31,普源精电,00537,26.2,1.95,688337,41.36,-1.97,1.83,82.75
