序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
124,亿华通-U,02402,12.79,0.71,688339,16.86,5.71,1.53,52.77
125,华能国际,00902,6.1,0.66,600011,7.23,-2.69,1.37,37.36
126,中国人寿,02628,27.46,0.66,601628,40.17,-1.06,1.7,69.53
127,康龙化成,03759,23.62,0.6,300759,39.36,5.58,1.93,93.11
128,赛力斯,09927,43.78,0.46,601127,55.51,-0.18,1.47,46.94
129,广汽集团,02238,2.19,0.46,601238,5.1,-1.54,2.7,169.88
130,三一重工,06031,20.14,0.4,600031,19.69,0.66,1.13,13.3
131,白云山,00874,15.93,0.38,600332,22.08,-1.38,1.61,60.63
132,龙源电力,00916,5.56,0.36,001289,16.46,-2.02,3.43,243.08
133,中国铁建,01186,4.72,0.21,601186,6.45,-0.46,1.58,58.36
134,中远海控,01919,15.21,0.13,601919,14.87,-0.4,1.13,13.3
135,海尔智家,06690,21.5,0.09,600690,21.85,1.82,1.18,17.77
136,牧原股份,02714,33.9,0.06,002714,39.42,-2.93,1.35,34.76
137,东鹏饮料,09980,112.6,0.0,605499,130.8,3.34,1.35,34.62
138,光大银行,06818,3.08,0.0,601818,3.12,-1.89,1.17,17.39
139,中国能建,03996,1.09,0.0,601868,2.57,0.0,2.73,173.24
140,中国交建,01800,3.81,0.0,601800,6.22,-0.32,1.89,89.19
141,中国中冶,01618,1.53,0.0,601618,2.66,-0.37,2.01,101.48
142,重庆钢铁,01053,0.89,0.0,601005,1.19,-1.65,1.55,54.95
143,大唐发电,00991,2.5,0.0,601991,6.62,3.76,3.07,206.87
144,深高速,00548,6.7,0.0,600548,8.56,-1.83,1.48,48.06
145,上海石化,00338,1.1,0.0,600688,2.76,-1.08,2.91,190.77
146,四川成渝,00107,4.8,0.0,601107,5.56,-0.89,1.34,34.24
147,昊海生科,06826,16.83,-0.06,688366,31.51,-3.64,2.17,116.97
148,中国移动,00941,80.7,-0.12,600941,94.94,-0.9,1.36,36.34
149,新华制药,00719,6.2,-0.16,000756,13.47,-1.17,2.52,151.78
150,长城汽车,02333,9.09,-0.22,601633,16.09,-1.65,2.05,105.13
151,海普瑞,09989,4.3,-0.23,002399,9.66,-2.33,2.6,160.34
152,顺丰控股,06936,32.9,-0.24,002352,33.87,-0.32,1.19,19.31
153,中国广核,01816,2.87,-0.35,003816,4.06,-0.25,1.64,63.94
154,比亚迪,01211,89.8,-0.39,002594,94.3,0.4,1.22,21.7
155,海螺水泥,00914,17.55,-0.4,600585,17.59,-1.29,1.16,16.15
156,中海油服,02883,7.04,-0.42,601808,12.01,-2.12,1.98,97.7
157,中国外运,00598,4.45,-0.45,601598,5.96,2.94,1.55,55.21
158,上海医药,02607,12.0,-0.5,601607,16.64,-1.65,1.61,60.7
159,中国铝业,02600,7.93,-0.5,601600,9.16,-0.11,1.34,33.86
160,福耀玻璃,03606,55.15,-0.54,600660,54.8,-0.25,1.15,15.15
161,中信银行,00998,7.23,-0.55,601998,7.48,-0.93,1.2,19.9
162,民生银行,01988,3.53,-0.56,600016,3.5,-0.85,1.15,14.9
163,宁沪高速,00177,10.0,-0.7,600377,12.06,-0.99,1.4,39.76
164,中国石化,00386,4.26,-0.7,600028,5.12,-2.29,1.39,39.28
165,青岛港,06198,6.83,-0.73,601298,8.63,-1.15,1.46,46.43
166,新华文轩,00811,9.41,-0.74,601811,12.15,-1.46,1.5,49.63
167,青岛啤酒,00168,45.5,-0.74,600600,53.56,-0.91,1.36,36.42
168,浙商银行,02016,2.31,-0.86,601916,2.84,-1.39,1.42,42.48
169,重庆银行,01963,7.85,-0.88,601963,10.93,-0.73,1.61,61.36
170,春立医疗,01858,8.83,-0.9,688236,13.78,-4.24,1.81,80.85
171,中国神华,01088,43.14,-1.06,601088,45.1,-2.25,1.21,21.15
172,中国电信,00728,4.67,-1.06,601728,6.1,-2.24,1.51,51.37
173,复星医药,02196,16.47,-1.08,600196,23.69,-1.29,1.67,66.69
174,福莱特,06865,6.4,-1.08,601865,9.33,1.08,1.69,68.94
175,交通银行,03328,7.15,-1.11,601328,6.81,-3.13,1.1,10.38
176,迈威生物-U,02493,23.2,-1.11,688062,32.68,-1.83,1.63,63.24
177,郑州银行,06196,0.89,-1.11,002936,1.75,-2.23,2.28,127.87
178,海天味业,03288,32.0,-1.23,603288,36.52,-1.3,1.32,32.26
179,工商银行,01398,7.02,-1.27,601398,7.56,-2.33,1.25,24.8
180,建设银行,00939,8.54,-1.27,601939,10.19,-2.39,1.38,38.28
181,丽珠集团,01513,26.3,-1.28,000513,30.89,-0.99,1.36,36.11
182,中国中免,01880,50.15,-1.28,601888,54.08,-1.08,1.25,24.97
183,中国银行,03988,5.19,-1.33,601988,5.88,-3.29,1.31,31.3
184,广深铁路,00525,2.22,-1.33,601333,3.01,0.0,1.57,57.13
185,恒瑞医药,01276,56.7,-1.39,600276,54.93,-1.15,1.12,12.27
186,海信家电,00921,22.56,-1.4,000921,26.17,2.95,1.34,34.43
187,安井食品,02648,71.4,-1.45,603345,86.8,-1.12,1.41,40.88
188,北辰实业,00588,0.67,-1.47,601588,1.6,-1.23,2.77,176.75
189,华新建材,06655,14.37,-1.51,600801,20.6,-1.9,1.66,66.13
190,邮储银行,01658,4.9,-1.61,601658,5.05,-2.51,1.19,19.44
191,万  科Ａ,02202,2.4,-1.64,000002,3.13,-0.63,1.51,51.14
192,招商银行,03968,47.96,-1.64,600036,37.99,-2.36,0.92,-8.2
193,中国海油,00883,23.5,-1.67,600938,30.93,-2.95,1.53,52.53
194,青岛银行,03866,4.66,-1.69,002948,5.65,-1.4,1.41,40.51
195,中国石油,00857,9.82,-1.7,601857,10.67,-3.09,1.26,25.92
196,泰格医药,03347,37.54,-1.73,300347,50.18,2.28,1.55,54.91
197,兖矿能源,01171,11.61,-1.94,600188,20.94,0.72,2.09,109.02
198,中煤能源,01898,10.56,-2.22,601898,13.79,0.0,1.51,51.34
199,百奥赛图,02315,51.8,-2.26,688796,120.0,-0.65,2.68,168.47
200,农业银行,01288,5.75,-2.71,601288,6.43,-2.72,1.3,29.59
201,山东墨龙,00568,5.65,-3.58,002490,7.33,-6.03,1.5,50.35
202,渝农商行,03618,6.23,-4.45,601077,6.58,-3.38,1.22,22.4
