序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
2,华虹宏力,01347,168.5,17.91,688347,397.78,20.0,2.74,173.58
3,澜起科技,06809,309.0,17.05,688008,219.6,15.62,0.82,-17.64
4,兆易创新,03986,614.0,15.09,603986,475.53,10.0,0.9,-10.25
5,华勤技术,03296,69.2,12.61,603296,79.7,8.76,1.33,33.47
6,三环集团,06951,101.8,12.49,300408,107.54,18.15,1.22,22.42
7,纳芯微,02676,159.0,11.81,688052,202.19,7.26,1.47,47.37
8,国恩股份,02768,30.48,11.32,002768,46.9,2.67,1.78,78.32
9,立讯精密,02475,57.95,11.02,002475,60.42,6.37,1.21,20.83
10,鼎泰高科,01377,363.0,9.73,301377,416.5,11.96,1.33,32.97
11,复旦微电,01385,27.44,9.06,688385,53.32,6.62,2.25,125.19
12,吉宏股份,02603,13.39,9.04,002803,19.51,6.61,1.69,68.86
13,大族数控,03200,119.7,8.82,301200,259.46,15.06,2.51,151.2
14,美格智能,03268,18.68,8.48,002881,41.91,7.1,2.6,160.0
15,潍柴动力,02338,32.16,8.43,000338,26.55,9.3,0.96,-4.33
16,中芯国际,00981,75.5,8.24,688981,160.0,11.11,2.46,145.59
17,芯碁微装,09630,328.6,7.95,688630,403.45,17.28,1.42,42.29
18,广合科技,01989,126.8,7.73,001389,174.31,10.0,1.59,59.31
19,江西铜业,00358,33.5,7.65,600362,40.8,5.64,1.41,41.14
20,普源精电,00537,25.7,7.44,688337,42.19,9.53,1.9,90.25
21,晶合集成,02249,31.8,7.43,688249,49.8,14.75,1.81,81.49
22,胜宏科技,02476,227.6,7.16,300476,240.27,7.21,1.22,22.34
23,山东黄金,01787,18.94,6.52,600547,25.87,5.94,1.58,58.29
24,剑桥科技,06166,86.75,6.44,603083,171.05,7.9,2.29,128.5
25,东方电气,01072,22.1,6.35,600875,26.18,3.93,1.37,37.28
26,先导智能,00470,29.44,6.28,300450,32.76,4.76,1.29,28.96
27,中远海能,01138,12.55,5.91,600026,14.88,2.48,1.37,37.4
28,圣邦股份,03661,101.0,5.48,300661,110.05,12.28,1.26,26.27
29,一拖股份,00038,8.62,5.38,601038,13.79,9.97,1.85,85.39
30,昭衍新药,06127,24.8,5.26,603127,49.12,4.51,2.3,129.53
31,赤峰黄金,06693,27.76,5.15,600988,35.48,10.02,1.48,48.12
32,石化油服,01033,0.66,4.76,600871,2.13,-1.84,3.74,274.0
33,蓝思科技,06613,22.28,4.7,300433,38.29,11.89,1.99,99.16
34,紫金矿业,02899,31.52,4.65,601899,30.21,2.93,1.11,11.07
35,国民技术,02701,9.49,4.29,300077,18.66,6.26,2.28,127.87
36,星源材质,06067,7.82,4.27,300568,12.76,6.16,1.89,89.1
37,峰岹科技,01304,120.8,4.14,688279,184.6,1.75,1.77,77.09
38,兆威机电,02692,47.26,4.1,003021,78.29,4.65,1.92,91.98
39,可孚医疗,01187,35.8,4.07,301087,52.48,3.51,1.7,69.88
40,钧达股份,02865,16.28,4.03,002865,41.36,1.82,2.94,194.42
41,中兴通讯,00763,24.4,4.01,000063,34.88,3.41,1.66,65.66
42,领益智造,01688,6.75,4.01,002600,12.35,6.93,2.12,112.03
43,中国东航,00670,3.17,3.93,600115,3.57,1.42,1.31,30.51
44,天岳先进,02631,69.35,3.9,688234,101.12,8.73,1.69,68.98
45,中伟新材,02579,24.68,3.87,300919,38.98,6.5,1.83,83.04
46,滨化股份,06745,3.22,3.87,601678,5.9,6.12,2.12,112.34
47,金风科技,02208,9.76,3.83,002202,17.55,3.05,2.08,108.39
48,中联重科,01157,7.25,3.72,000157,7.47,1.22,1.19,19.4
49,天齐锂业,09696,32.0,3.63,002466,43.69,3.31,1.58,58.22
50,大金重工,01081,33.92,3.48,002487,38.36,4.78,1.31,31.06
51,中信证券,06030,28.26,3.44,600030,28.34,0.21,1.16,16.22
52,龙旗科技,09611,21.92,3.4,603341,38.81,2.02,2.05,105.18
53,创业环保,01065,3.86,3.21,600874,5.45,-0.73,1.64,63.62
54,秦港股份,03369,2.35,3.07,601326,3.48,-0.29,1.72,71.61
55,大众公用,01635,2.39,3.02,600635,4.45,1.83,2.16,115.78
56,安克创新,00668,106.7,2.99,300866,122.09,3.49,1.33,32.6
57,君实生物-U,01877,19.59,2.83,688180,36.63,2.15,2.17,116.69
58,洛阳钼业,03993,16.57,2.73,603993,18.68,3.84,1.31,30.65
59,国泰海通,02611,15.17,2.71,601211,18.82,-1.1,1.44,43.77
60,新天绿能,00956,3.19,2.57,600956,7.3,0.0,2.65,165.2
61,东方证券,03958,5.61,2.56,600958,9.12,0.33,1.88,88.4
62,均胜电子,00699,12.9,2.54,600699,20.4,2.15,1.83,83.27
63,三花智控,02050,26.22,2.5,002050,38.1,5.48,1.68,68.4
64,东江环保,00895,1.64,2.5,002672,3.2,-2.14,2.26,126.12
65,招商证券,06099,15.25,2.49,600999,18.94,0.53,1.44,43.93
66,时代电气,03898,34.52,2.43,688187,49.29,2.52,1.65,65.47
67,京城股份,00187,2.96,2.42,600860,7.48,1.22,2.93,192.85
68,绿色动力,01330,5.54,2.4,601330,7.08,-1.39,1.48,48.1
69,龙蟠科技,02465,9.47,2.38,603906,17.76,3.5,2.17,117.34
70,南方航空,01055,3.47,2.36,600029,5.06,0.8,1.69,68.99
71,弘业期货,03678,2.17,2.36,001236,7.15,-0.42,3.82,281.84
72,广发证券,01776,17.36,2.3,000776,22.86,0.62,1.53,52.6
73,中国银河,06881,7.7,2.26,601881,12.85,0.47,1.93,93.4
74,凯盛新能,01108,2.29,2.23,600876,6.22,-1.43,3.15,214.77
75,上海电气,02727,3.24,2.21,601727,6.58,2.65,2.35,135.35
76,中创智领,00564,13.93,2.2,601717,15.31,1.59,1.27,27.37
77,新华保险,01336,48.2,1.99,601336,64.64,-0.31,1.55,55.42
78,申万宏源,06806,2.59,1.97,000166,4.68,-0.64,2.09,109.4
79,中国国航,00753,4.15,1.97,601111,5.91,0.68,1.65,65.04
80,中信建投,06066,11.95,1.96,601066,26.65,-0.04,2.58,158.45
81,广和通,00638,7.58,1.88,300638,19.9,-0.5,3.04,204.24
82,埃斯顿,02715,18.73,1.85,002747,33.43,-2.73,2.07,106.84
83,安德利,02218,15.26,1.8,605198,49.52,3.17,3.76,276.07
84,皖通高速,00995,16.0,1.78,600012,18.06,-3.83,1.31,30.81
85,金隅集团,02009,0.58,1.75,601992,1.42,0.71,2.84,183.73
86,荣昌生物,09995,85.2,1.73,688331,127.65,3.69,1.74,73.63
87,浙江世宝,01057,3.54,1.72,002703,12.08,2.03,3.95,295.46
88,中铝国际,02068,1.79,1.7,601068,4.31,0.7,2.79,179.04
89,ST晨鸣,01812,0.61,1.67,000488,1.88,0.0,3.57,257.16
90,赣锋锂业,01772,36.7,1.66,002460,47.69,3.43,1.51,50.59
91,沃尔核材,09981,10.54,1.54,002130,15.71,2.55,1.73,72.73
92,南华期货,02691,6.59,1.54,603093,16.81,2.13,2.96,195.61
93,华泰证券,06886,17.18,1.54,601688,20.63,0.78,1.39,39.16
94,国联民生,01456,4.04,1.51,601456,9.09,-0.33,2.61,160.75
95,诺诚健华,09969,14.49,1.47,688428,29.07,4.49,2.32,132.5
96,辽港股份,02880,0.69,1.47,601880,1.46,-0.68,2.45,145.21
97,中国中车,01766,4.88,1.46,601766,5.99,-0.66,1.42,42.25
98,南京熊猫,00553,3.26,1.24,600775,8.55,2.15,3.04,203.94
99,宁德时代,03750,626.0,1.21,300750,382.2,1.53,0.71,-29.25
100,马钢股份,00323,1.69,1.2,600808,2.5,0.0,1.71,71.43
101,豪威集团,00501,84.55,1.2,603501,102.42,1.25,1.4,40.38
102,中船防务,00317,11.2,1.17,600685,25.31,1.36,2.62,161.89
103,中原证券,01375,1.73,1.17,601375,4.14,-0.24,2.77,177.33
104,凯莱英,06821,122.4,1.16,002821,169.5,4.3,1.6,60.48
105,中远海发,02866,0.91,1.11,601866,2.4,0.0,3.06,205.64
106,康希诺,06185,24.28,1.0,688185,50.15,0.99,2.39,139.37
107,中国平安,02318,56.25,0.99,601318,52.89,-0.64,1.09,8.97
108,美凯龙,01528,1.06,0.95,601828,2.13,-1.39,2.33,132.87
109,光大证券,06178,7.56,0.93,601788,14.95,0.67,2.29,129.17
110,中国通号,03969,3.25,0.93,688009,5.23,1.36,1.86,86.49
111,中金公司,03908,21.88,0.92,601995,35.73,-0.72,1.89,89.25
112,金力永磁,06680,17.1,0.88,300748,25.84,4.03,1.75,75.12
113,鞍钢股份,00347,1.17,0.86,000898,1.96,-1.01,1.94,94.14
114,美的集团,00300,95.15,0.85,000333,84.27,-0.04,1.03,2.64
115,中国中铁,00390,3.57,0.85,601390,4.49,-0.88,1.46,45.75
116,复旦张江,01349,2.42,0.83,688505,7.45,-1.84,3.57,256.76
117,百济神州,06160,193.0,0.78,688235,275.5,6.25,1.65,65.43
118,中国人保,01339,5.26,0.77,601319,7.41,-1.72,1.63,63.26
119,药明康德,02359,158.4,0.76,603259,126.45,1.8,0.93,-7.49
120,中国太保,02601,29.68,0.75,601601,31.63,0.0,1.24,23.5
121,华电国际,01071,4.07,0.74,600027,4.74,-1.46,1.35,34.97
122,中集集团,02039,7.03,0.72,000039,7.97,0.13,1.31,31.38
123,长飞光纤,06869,142.0,0.71,601869,406.38,6.38,3.32,231.65
